Date,close,ATR,ADX,OBV,RSI,MACD,Signal_Line,MACD_Histogram
2025-02-07,227.63,6.249928974479842,18.95139725175455,-2745500508,47.600571778639996,-2.4116595252584716,-2.650009010788369,0.23834948552989754
2025-02-10,227.65,6.045291190588427,17.727087342253146,-2712384863,56.01440576230493,-2.595056193640346,-2.639018447358765,0.043962253718418776
2025-02-11,232.62,6.154913248403537,17.162936876945,-2658666501,59.674224081003715,-2.312702515664455,-2.573755261019903,0.26105274535544787
2025-02-12,236.87,6.163848016374713,16.921487135032205,-2613423209,63.34073924459704,-1.7260983233395848,-2.404223873483839,0.6781255501442542
2025-02-13,241.53,6.20713744377652,17.48579678197673,-2559809155,67.59241884030772,-0.8750996162663682,-2.0983990220403452,1.223299405773977
2025-02-14,244.6,6.0894847692210545,18.418021236285927,-2518912928,64.95535714285711,0.04651019259461009,-1.6694171791133543,1.7159273717079644
2025-02-18,244.47,5.893092999990979,19.28365822957304,-2567735419,57.57132406730066,0.7576687585957416,-1.1839999915715351,1.9416687501672767
2025-02-19,244.87,5.675700642848765,20.198049717516884,-2535531204,56.8345323741007,1.3381187033704407,-0.6795762525831399,2.017694955953581
2025-02-20,245.83,5.448150596930997,21.1527953333377,-2503214297,60.430379746835435,1.8542191592096628,-0.17281717022457932,2.0270363294342424
2025-02-21,245.55,5.306854125721641,22.300286037076905,-2556411728,62.50327310814349,2.2151044831952618,0.3047671604593889,1.9103373227358729
